ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,group
60933,8600000US60933,60933,5239177,0,7
61430,8600000US61430,61430,4497795,143756,7
62250,8600000US62250,62250,984987,0,7
60644,8600000US60644,60644,9074684,24575,1
46951,8600000US46951,46951,164387208,1255022,7
46133,8600000US46133,46133,63613330,35933,7
50107,8600000US50107,50107,130323310,109876,7
52557,8600000US52557,52557,116099,0,7
50612,8600000US50612,50612,57581064,0,7
52657,8600000US52657,52657,494761,0,7
51467,8600000US51467,51467,168862487,113009,7
50078,8600000US50078,50078,660700,0,7
67575,8600000US67575,67575,419427356,65419,7
42440,8600000US42440,42440,2586719,5933,7
41615,8600000US41615,41615,15102765,29222,7
67071,8600000US67071,67071,537527702,545059,7
42301,8600000US42301,42301,442888620,6452990,7
42337,8600000US42337,42337,128098017,5073521,7
41274,8600000US41274,41274,9597135,2543,7
41663,8600000US41663,41663,4559581,84156,7
70451,8600000US70451,70451,465787,0,7
71068,8600000US71068,71068,372596394,17691583,7
71340,8600000US71340,71340,298883103,14977718,7
71292,8600000US71292,71292,390640437,21181535,7
71416,8600000US71416,71416,174644137,5227569,7
71483,8600000US71483,71483,951947448,10203129,7
70139,8600000US70139,70139,14214,0,7
04441,8600000US04441,04441,1505788194,66124516,7
21052,8600000US21052,21052,193870,175832,7
04057,8600000US04057,04057,142741,0,7
04781,8600000US04781,04781,126567219,3242019,7
02351,8600000US02351,02351,25007148,617644,7
21130,8600000US21130,21130,1960001,0,7
01088,8600000US01088,01088,13468907,36980,7
02139,8600000US02139,02139,4034617,364765,7
49320,8600000US49320,49320,927968,0,7
48098,8600000US48098,48098,24324088,30981,7
48009,8600000US48009,48009,13084512,31709,7
48125,8600000US48125,48125,10489267,956,7
55709,8600000US55709,55709,594266607,57093004,7
56146,8600000US56146,56146,2570165,0,7
56132,8600000US56132,56132,154269610,9294560,7
55051,8600000US55051,55051,507090656,17289026,7
56375,8600000US56375,56375,9468835,0,7
56328,8600000US56328,56328,3620412,0,7
38659,8600000US38659,38659,293992813,1970302,7
39269,8600000US39269,39269,11206,0,7
39328,8600000US39328,39328,778022160,482441,7
64134,8600000US64134,64134,30850735,2250279,7
65066,8600000US65066,65066,516863885,3799361,7
63882,8600000US63882,63882,1179128,24401,7
65301,8600000US65301,65301,623243382,5133476,7
64781,8600000US64781,64781,2700032,406369,7
89301,8600000US89301,89301,5036359418,32721156,7
03873,8600000US03873,03873,34470966,1261550,7
89835,8600000US89835,89835,6601026134,4202245,7
03255,8600000US03255,03255,95201213,6237765,7
03811,8600000US03811,03811,28852738,412793,7
03840,8600000US03840,03840,27002946,7437715,7
69123,8600000US69123,69123,523238721,3370441,7
68822,8600000US68822,68822,1029424319,296669,7
87508,8600000US87508,87508,382650154,0,7
87828,8600000US87828,87828,5139421,0,7
87557,8600000US87557,87557,261955349,18582,7
08042,8600000US08042,08042,1720315,0,7
07926,8600000US07926,07926,685287,773,7
08039,8600000US08039,08039,2662922,4057,7
12866,8600000US12866,12866,173572739,10608104,7
10006,8600000US10006,10006,237784,0,7
12543,8600000US12543,12543,29738101,1596747,7
10128,8600000US10128,10128,1205549,0,7
13321,8600000US13321,13321,2089623,43875,7
11355,8600000US11355,11355,4503632,0,7
68923,8600000US68923,68923,4134902,0,7
59034,8600000US59034,59034,1978147616,14688204,7
59752,8600000US59752,59752,1001000654,13070086,7
59855,8600000US59855,59855,1869750,0,7
69339,8600000US69339,69339,1002879979,347895,7
13483,8600000US13483,13483,17921423,213418,7
10169,8600000US10169,10169,9924,0,7
28513,8600000US28513,28513,235142216,0,7
10103,8600000US10103,10103,24776,0,7
12495,8600000US12495,12495,23672919,0,7
10552,8600000US10552,10552,4291819,11814,7
27823,8600000US27823,27823,489295807,1886764,7
58634,8600000US58634,58634,1069138030,4353717,7
58269,8600000US58269,58269,200896725,677167,7
58405,8600000US58405,58405,118573,0,7
58784,8600000US58784,58784,830812520,29923360,7
45319,8600000US45319,45319,1013672,0,7
58563,8600000US58563,58563,1409994324,4271277,7
58707,8600000US58707,58707,164804,0,7
13202,8600000US13202,13202,2583758,0,7
12475,8600000US12475,12475,3183035,0,7
13024,8600000US13024,13024,107577,0,7
11102,8600000US11102,11102,2092155,7099,7
45841,8600000US45841,45841,66317418,7750,7
74569,8600000US74569,74569,518614676,2082501,7
73555,8600000US73555,73555,51360472,171745,7
73753,8600000US73753,73753,168517822,80111,7
97736,8600000US97736,97736,1427341497,1380661,7
15750,8600000US15750,15750,1257772,0,7
97326,8600000US97326,97326,379589491,176787,7
17355,8600000US17355,17355,1581216,0,7
18707,8600000US18707,18707,128790174,1296426,7
15767,8600000US15767,15767,428089218,2170259,7
18424,8600000US18424,18424,213818834,4649830,7
16029,8600000US16029,16029,2241392,0,7
18059,8600000US18059,18059,4143034,351697,7
17266,8600000US17266,17266,3485162,4508,7
18231,8600000US18231,18231,2570207,0,7
45145,8600000US45145,45145,63298,0,7
44251,8600000US44251,44251,3749612,0,7
02912,8600000US02912,02912,112446,0,7
17344,8600000US17344,17344,2069375,0,7
15777,8600000US15777,15777,2906492,0,7
29070,8600000US29070,29070,428183363,22345092,7
18936,8600000US18936,18936,1898741,0,7
29373,8600000US29373,29373,1713008,174903,7
29945,8600000US29945,29945,568057506,27607909,7
57630,8600000US57630,57630,28417456,0,7
57256,8600000US57256,57256,74250306,625435,7
37716,8600000US37716,37716,218217669,6142706,7
37357,8600000US37357,37357,363908995,77359,7
38320,8600000US38320,38320,382268765,13817808,7
38021,8600000US38021,38021,1363882,0,7
38230,8600000US38230,38230,222577755,292149,7
19133,8600000US19133,19133,3368695,6252,7
